99;BD. MARECHAL DE LATTRE DE TASSIGNY;BOULEVARD MARECHAL DE LATTRE DE TASSIGNY;6110B;I;49;0;67;0;25;1;N
100;BD. MARECHAL DE LATTRE DE TASSIGNY;BOULEVARD MARECHAL DE LATTRE DE TASSIGNY;6110B;I;69;0;115;0;23;1;N
101;BD. MARECHAL DE LATTRE DE TASSIGNY;BOULEVARD MARECHAL DE LATTRE DE TASSIGNY;6110B;P;2;0;70;0;27;1;N
102;BD. MARECHAL DE LATTRE DE TASSIGNY;BOULEVARD MARECHAL DE LATTRE DE TASSIGNY;6110B;P;72;0;88;0;26;1;N
103;BD. MARECHAL DE LATTRE DE TASSIGNY;BOULEVARD MARECHAL DE LATTRE DE TASSIGNY;6110B;P;90;0;116;0;25;1;N
104;BD. MARECHAL DE LATTRE DE TASSIGNY;BOULEVARD MARECHAL DE LATTRE DE TASSIGNY;6110B;P;118;0;170;0;23;1;N
105;BOULEVARD ARISTIDE BRIAND;BOULEVARD ARISTIDE BRIAND;0080X;;1;0;22;0;31;1;N
106;BOULEVARD HENRI SELLIER;BOULEVARD HENRI SELLIER;4440L;I;1;0;41;0;6;1;N
107;BOULEVARD HENRI SELLIER;BOULEVARD HENRI SELLIER;4440L;I;43;0;55;8;9;1;N
108;BOULEVARD HENRI SELLIER;BOULEVARD HENRI SELLIER;4440L;I;57;0;141;0;10;1;N
109;BOULEVARD HENRI SELLIER;BOULEVARD HENRI SELLIER;4440L;I;143;0;173;0;26;1;N
110;BOULEVARD HENRI SELLIER;BOULEVARD HENRI SELLIER;4440L;P;2;0;38;0;3;1;N
111;BOULEVARD HENRI SELLIER;BOULEVARD HENRI SELLIER;4440L;P;40;0;58;0;2;1;N
112;BOULEVARD HENRI SELLIER;BOULEVARD HENRI SELLIER;4440L;P;60;0;132;0;10;1;N
113;BOULEVARD HENRI SELLIER;BOULEVARD HENRI SELLIER;4440L;P;134;0;156;0;26;1;N
114;BOULEVARD LOUIS LOUCHEUR;BOULEVARD LOUIS LOUCHEUR;5175K;;1;0;29;0;26;1;N
115;BOULEVARD WASHINGTON;BOULEVARD WASHINGTON;9667T;;0;0;196;0;23;1;N
116;CARR. DES PATRIOTES FUSILLES;ROUTE DES FUSILLES DE LA RESISTANCE;7165Y;;1;0;10;0;23;1;O
117;CARREFOUR DE LA CROIX DU ROY;CARREFOUR DE LA CROIX DU ROY;1570S;;1;0;10;0;29;1;O
118;CHEMIN DE LA LIBERTE;CHEMIN DE LA LIBERTE;5146D;;1;0;30;0;22;1;N
119;CHEMIN DE LA MOTTE;CHEMIN DE LA MOTTE;6167N;;1;0;25;0;24;1;N
120;CHEMIN DES HOCQUETTES;CHEMIN DES HOCQUETTES;4455C;;1;0;8;0;25;1;N
121;CHEMIN DES PONEYS;CHEMIN DES PONEYS;7241F;;1;0;10;0;23;1;O
122;CHEMIN DES ROSES;CHEMIN DES ROSES;8150U;;1;0;45;0;26;1;N
123;COUR DES DAMES;COUR DES DAMES;2515U;;1;0;10;0;5;1;O
124;COURS MADELEINE;COURS MADELEINE;SU11E;;1;0;10;0;1;1;O
125;DOMAINE DES HOCQUETTES;DOMAINE DES HOCQUETTES;4461J;;1;0;22;0;25;1;N
126;ESPLANADE DES COURTIEUX;ESPLANADE JACQUES CHIRAC;1548T;;1;0;26;0;3;1;N
127;ESPLANADE JACQUES CHIRAC;ESPLANADE JACQUES CHIRAC;1549T;;1;0;26;0;3;1;N
128;ETRANGER;ETRANGER;9999;S;0;0;9999;0;1;1;O
129;ETRANGER;ETRANGER;SU000;;0;0;4;0;1;1;N
130;FORT DU MONT VALERIEN;FORT DU MONT VALERIEN;6162H;;0;0;28;0;23;1;N
131;FORT DU MT VALERIEN C.T.I.P;FORT DU MONT VALERIEN;SU12E;;1;0;10;0;23;1;O
132;GARE SURESNES LONGCHAMP;PLACE DE LA GARE DE SURESNES LONGCHAMP;8593A;;1;0;10;0;2;1;O
133;GARE SURESNES MT VALERIEN;GARE SURESNES MT VALERIEN;SU08E;;1;0;10;0;23;1;O
134;IMP. SOMMELIERS DE LA GROUE;IMPASSE DES SOMMELIERS DE LA GROUE;8570A;;1;0;17;0;25;1;N
135;IMPASSE CLOS DES SEIGNEURS;IMPASSE DU CLOS DES SEIGNEURS;1515G;;2;0;8;0;1;1;N
136;IMPASSE DES BOURETS;IMPASSE DES BOURETS;0685E;;1;0;7;0;5;1;N
137;IMPASSE DES CHERCHEVETS;IMPASSE DES CHERCHEVETS;1475N;;1;0;39;0;19;1;N
138;IMPASSE DES PETITS CLOS;IMPASSE DES PETITS CLOS;7195F;;1;0;9;0;8;1;N
