id;address;new_address;match
377;RUE GUILLEMETTE FAUSSART;RUE GUILLEMETTE FAUSSART;True
378;RUE GUSTAVE FLOURENS;RUE GUSTAVE FLOURENS;True
379;RUE H. D'ESTIENNE D'ORVES;;False
380;RUE H. D'ESTIENNE D'ORVES;;False
381;RUE HENRI REGNAULT;RUE HENRI REGNAULT;True
382;RUE HENRI REGNAULT;RUE HENRI REGNAULT;True
383;RUE HENRI REGNAULT;RUE HENRI REGNAULT;True
384;RUE HENRI REGNAULT;RUE HENRI REGNAULT;True
385;RUE HUBERT CHARPENTIER;RUE HUBERT CHARPENTIER;True
386;RUE HUCHE;RUE HUCHE;True
387;RUE HUCHE;RUE HUCHE;True
388;RUE HUCHE;RUE HUCHE;True
389;RUE HUCHE;RUE HUCHE;True
390;RUE JACQUES DECOUR;RUE JACQUES DECOUR;True
391;RUE JEAN JACQUES ROUSSEAU;;False
392;RUE JEAN JACQUES ROUSSEAU;;False
393;RUE JEAN JACQUES ROUSSEAU;;False
394;RUE JEAN JACQUES ROUSSEAU;;False
395;RUE JEAN JACQUES ROUSSEAU;;False
396;RUE JEAN JACQUES ROUSSEAU;;False
397;RUE JEAN MACE;RUE JEAN MACE;True
398;RUE JEAN MACE;RUE JEAN MACE;True
399;RUE JULES FERRY;RUE JULES FERRY;True
400;RUE KELLOGG;RUE KELLOGG;True
401;RUE KELLOGG;RUE KELLOGG;True
402;RUE KELLOGG;RUE KELLOGG;True
403;RUE LAKANAL;RUE LAKANAL;True
404;RUE LEDRU ROLLIN;RUE LEDRU ROLLIN;True
405;RUE LEDRU ROLLIN;RUE LEDRU ROLLIN;True
406;RUE LEDRU ROLLIN;RUE LEDRU ROLLIN;True
407;RUE LEDRU ROLLIN;RUE LEDRU ROLLIN;True
408;RUE LEROY;RUE LEROY;True
409;RUE LOUIS BLERIOT;;False
410;RUE MARCEL MONGE;RUE MARCEL MONGE;True
411;RUE MAURICE PAYRET DORTAIL;RUE MAURICE PAYRET DORTAIL;True
412;RUE MELIN;;False
413;RUE MERLIN DE THIONVILLE;RUE MERLIN DE THIONVILLE;True
414;RUE MERLIN DE THIONVILLE;RUE MERLIN DE THIONVILLE;True
415;RUE MERLIN DE THIONVILLE;RUE MERLIN DE THIONVILLE;True
416;RUE MERLIN DE THIONVILLE;RUE MERLIN DE THIONVILLE;True
417;RUE MICHELET;RUE MICHELET;True
418;RUE PAGES;RUE PAGES;True
419;RUE PAGES;RUE PAGES;True
420;RUE PASTEUR;RUE PASTEUR;True
421;RUE PAUL BERT;RUE PAUL BERT;True
422;RUE PAUL BERT;RUE PAUL BERT;True
423;RUE PAUL BERT;RUE PAUL BERT;True
424;RUE PAUL BERT;RUE PAUL BERT;True
425;RUE PERRONET;RUE PERRONET;True
426;RUE PIERRE DUPONT;RUE PIERRE DUPONT;True
427;RUE RAYMOND COSSON;RUE RAYMOND COSSON;True
428;RUE ROBERT JOYEUX;RUE ROBERT JOYEUX;True
429;RUE ROGER SALENGRO;RUE ROGER SALENGRO;True
430;RUE ROGER SALENGRO;RUE ROGER SALENGRO;True
431;RUE ROGER SALENGRO;RUE ROGER SALENGRO;True
432;RUE ROGER SALENGRO;RUE ROGER SALENGRO;True
433;RUE ROUGET DE LISLE;RUE ROUGET DE LISLE;True
434;RUE ROUGET DE LISLE;RUE ROUGET DE LISLE;True
